CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F996,F997,F998,F999,F1000,F1001,F2384,F323339,
24332,E01005208,Manchester 019A,Lower Super Output Areas and Data Zones,LSOADZ,1110,463,387,190,59,11,2338,3412,
24333,E01005209,Manchester 019B,Lower Super Output Areas and Data Zones,LSOADZ,868,278,318,186,78,8,2699,6106,
24334,E01005210,Manchester 019C,Lower Super Output Areas and Data Zones,LSOADZ,638,138,274,139,76,11,3244,4375,
24335,E01005212,Manchester 057A,Lower Super Output Areas and Data Zones,LSOADZ,696,275,232,129,54,6,2110,3202,
24336,E01005213,Manchester 059A,Lower Super Output Areas and Data Zones,LSOADZ,1178,381,387,281,117,12,2189,1535,
24337,E01005214,Manchester 019D,Lower Super Output Areas and Data Zones,LSOADZ,1013,551,296,120,40,6,2279,1531,
24338,E01005215,Manchester 034C,Lower Super Output Areas and Data Zones,LSOADZ,756,266,264,162,58,6,2004,1455,
24339,E01005216,Manchester 034D,Lower Super Output Areas and Data Zones,LSOADZ,611,286,182,116,24,3,1526,977,
24340,E01005217,Manchester 034E,Lower Super Output Areas and Data Zones,LSOADZ,678,308,213,125,27,5,1905,1512,
24341,E01005218,Manchester 034F,Lower Super Output Areas and Data Zones,LSOADZ,632,222,191,157,52,10,1683,1451,
24342,E01005219,Manchester 031A,Lower Super Output Areas and Data Zones,LSOADZ,916,327,303,201,73,12,2073,1749,
24343,E01005220,Manchester 031B,Lower Super Output Areas and Data Zones,LSOADZ,728,276,237,153,59,3,1849,1471,
24344,E01005221,Manchester 031C,Lower Super Output Areas and Data Zones,LSOADZ,779,299,247,164,63,6,2248,2137,
24345,E01005222,Manchester 031D,Lower Super Output Areas and Data Zones,LSOADZ,897,350,286,202,56,3,2102,1528,
24346,E01005223,Manchester 007A,Lower Super Output Areas and Data Zones,LSOADZ,549,159,200,124,64,2,1234,830,
24347,E01005224,Manchester 007B,Lower Super Output Areas and Data Zones,LSOADZ,715,227,253,162,68,5,1819,1861,
24348,E01005225,Manchester 007C,Lower Super Output Areas and Data Zones,LSOADZ,837,214,253,263,99,8,1847,1435,
24349,E01005226,Manchester 007D,Lower Super Output Areas and Data Zones,LSOADZ,683,233,228,163,53,6,1599,1122,
24350,E01005227,Manchester 009D,Lower Super Output Areas and Data Zones,LSOADZ,698,179,223,199,87,10,1685,1205,
24351,E01005228,Manchester 009E,Lower Super Output Areas and Data Zones,LSOADZ,755,138,238,254,119,6,1691,1317,
24352,E01005229,Manchester 007E,Lower Super Output Areas and Data Zones,LSOADZ,609,236,212,133,28,0,1539,1154,
24353,E01005230,Manchester 022B,Lower Super Output Areas and Data Zones,LSOADZ,819,254,267,193,91,14,2069,1669,
24354,E01005231,Manchester 022C,Lower Super Output Areas and Data Zones,LSOADZ,633,269,260,82,19,3,2626,2226,
24355,E01005232,Manchester 020C,Lower Super Output Areas and Data Zones,LSOADZ,713,161,256,202,85,9,1867,3273,
24356,E01005233,Manchester 027D,Lower Super Output Areas and Data Zones,LSOADZ,770,215,260,195,94,6,2403,1899,
24357,E01005234,Manchester 027E,Lower Super Output Areas and Data Zones,LSOADZ,633,145,208,178,93,9,2046,1988,
24358,E01005235,Manchester 020D,Lower Super Output Areas and Data Zones,LSOADZ,719,147,235,225,105,7,1760,1961,
24359,E01005236,Manchester 022D,Lower Super Output Areas and Data Zones,LSOADZ,702,182,260,179,65,16,2061,1701,
24360,E01005237,Manchester 022E,Lower Super Output Areas and Data Zones,LSOADZ,533,124,195,139,63,12,1994,1858,
24361,E01005238,Manchester 027F,Lower Super Output Areas and Data Zones,LSOADZ,564,144,196,148,68,8,2109,1682,
24362,E01005239,Manchester 020E,Lower Super Output Areas and Data Zones,LSOADZ,660,112,210,216,107,15,1762,1808,
24363,E01005240,Manchester 024A,Lower Super Output Areas and Data Zones,LSOADZ,1003,296,336,251,112,8,2655,2110,
24364,E01005241,Manchester 025A,Lower Super Output Areas and Data Zones,LSOADZ,1009,415,326,192,66,10,2428,1606,
24365,E01005242,Manchester 025B,Lower Super Output Areas and Data Zones,LSOADZ,1008,287,351,272,81,17,2603,2083,
